_time;_value;host;_time;_value;host
2022-02-21T18:00:46Z;0,28;Accelerometro_DX;;;
2022-02-21T18:00:49Z;0,77;Accelerometro_DX;;;
2022-02-21T18:00:52Z;1,45;Accelerometro_DX;;;
2022-02-21T18:00:52.5Z;1,45;Accelerometro_DX;;;
2022-02-21T18:00:58.6Z;1,45;Accelerometro_DX;;;
2022-02-21T18:01:01.5Z;1,45;Accelerometro_DX;;;
2022-02-21T18:01:02Z;1,45;Accelerometro_DX;;;
2022-02-21T18:01:02.4Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:02.8Z;1,48;Accelerometro_DX;;;
2022-02-21T18:01:03.2Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:03.6Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:04.1Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:04.5Z;1,45;Accelerometro_DX;;;
2022-02-21T18:01:04.9Z;1,45;Accelerometro_DX;;;
2022-02-21T18:01:05.3Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:05.8Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:06.4Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:06.9Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:07.3Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:07.7Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:08.1Z;1,45;Accelerometro_DX;;;
2022-02-21T18:01:08.6Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:09Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:09.4Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:09.8Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:10.3Z;1,47;Accelerometro_DX;;;
2022-02-21T18:01:16.6Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:17.3Z;1,45;Accelerometro_DX;;;
2022-02-21T18:01:17.7Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:18.1Z;1,46;Accelerometro_DX;;;
2022-02-21T18:01:18.6Z;1,48;Accelerometro_DX;2022-02-21T18:01:18.7Z;0,3;Accelerometro_SX
2022-02-21T18:01:19.1Z;1,42;Accelerometro_DX;2022-02-21T18:01:19.1Z;1,1;Accelerometro_SX
2022-02-21T18:01:19.5Z;1,44;Accelerometro_DX;2022-02-21T18:01:19.6Z;1,11;Accelerometro_SX
2022-02-21T18:01:20.2Z;1,45;Accelerometro_DX;2022-02-21T18:01:20Z;0,49;Accelerometro_SX
2022-02-21T18:01:20.6Z;1,45;Accelerometro_DX;2022-02-21T18:01:20.4Z;0,51;Accelerometro_SX
2022-02-21T18:01:22.2Z;1,45;Accelerometro_DX;2022-02-21T18:01:21.8Z;0,74;Accelerometro_SX
2022-02-21T18:01:22.6Z;1,48;Accelerometro_DX;2022-02-21T18:01:22.3Z;0,26;Accelerometro_SX
2022-02-21T18:01:26Z;1,47;Accelerometro_DX;2022-02-21T18:01:22.7Z;1,89;Accelerometro_SX
2022-02-21T18:01:26.5Z;1,46;Accelerometro_DX;2022-02-21T18:01:23.5Z;2,65;Accelerometro_SX
2022-02-21T18:01:26.9Z;1,46;Accelerometro_DX;2022-02-21T18:01:23.9Z;2,6;Accelerometro_SX
2022-02-21T18:01:27.3Z;1,46;Accelerometro_DX;2022-02-21T18:01:24.4Z;2,59;Accelerometro_SX
2022-02-21T18:01:27.8Z;1,46;Accelerometro_DX;2022-02-21T18:01:24.8Z;2,6;Accelerometro_SX
2022-02-21T18:01:28.2Z;1,46;Accelerometro_DX;2022-02-21T18:01:25.2Z;2,6;Accelerometro_SX
2022-02-21T18:01:28.6Z;1,46;Accelerometro_DX;2022-02-21T18:01:25.6Z;2,59;Accelerometro_SX
2022-02-21T18:01:29.5Z;1,46;Accelerometro_DX;2022-02-21T18:01:26.1Z;2,6;Accelerometro_SX
2022-02-21T18:01:29.9Z;1,46;Accelerometro_DX;2022-02-21T18:01:26.5Z;2,59;Accelerometro_SX
2022-02-21T18:01:30.3Z;1,46;Accelerometro_DX;2022-02-21T18:01:27Z;2,6;Accelerometro_SX
2022-02-21T18:01:30.7Z;1,47;Accelerometro_DX;2022-02-21T18:01:27.4Z;2,59;Accelerometro_SX
2022-02-21T18:01:31.2Z;1,46;Accelerometro_DX;2022-02-21T18:01:27.8Z;2,6;Accelerometro_SX
2022-02-21T18:01:31.9Z;1,46;Accelerometro_DX;2022-02-21T18:01:30.2Z;2,6;Accelerometro_SX
2022-02-21T18:01:32.3Z;1,46;Accelerometro_DX;2022-02-21T18:01:30.6Z;2,6;Accelerometro_SX
2022-02-21T18:01:32.8Z;1,46;Accelerometro_DX;2022-02-21T18:01:31.1Z;2,6;Accelerometro_SX
2022-02-21T18:01:36Z;1,46;Accelerometro_DX;2022-02-21T18:01:31.5Z;2,36;Accelerometro_SX
2022-02-21T18:01:36.5Z;1,46;Accelerometro_DX;2022-02-21T18:01:31.9Z;1,97;Accelerometro_SX
2022-02-21T18:01:36.9Z;1,45;Accelerometro_DX;2022-02-21T18:01:32.4Z;1,89;Accelerometro_SX
2022-02-21T18:01:37.3Z;1,46;Accelerometro_DX;2022-02-21T18:01:32.8Z;1,84;Accelerometro_SX
2022-02-21T18:01:37.7Z;1,46;Accelerometro_DX;2022-02-21T18:01:33.2Z;1,72;Accelerometro_SX
2022-02-21T18:01:41Z;1,46;Accelerometro_DX;2022-02-21T18:01:33.7Z;1,68;Accelerometro_SX
2022-02-21T18:01:41.5Z;1,49;Accelerometro_DX;2022-02-21T18:01:36.6Z;1,66;Accelerometro_SX
2022-02-21T18:01:41.9Z;1,49;Accelerometro_DX;2022-02-21T18:01:37.1Z;1,73;Accelerometro_SX
2022-02-21T18:01:42.3Z;1,48;Accelerometro_DX;2022-02-21T18:01:37.5Z;1,69;Accelerometro_SX
2022-02-21T18:01:42.7Z;1,48;Accelerometro_DX;2022-02-21T18:01:37.9Z;1,79;Accelerometro_SX
2022-02-21T18:01:43.1Z;1,48;Accelerometro_DX;2022-02-21T18:01:38.3Z;1,77;Accelerometro_SX
2022-02-21T18:01:43.5Z;1,49;Accelerometro_DX;2022-02-21T18:01:38.7Z;2,51;Accelerometro_SX
2022-02-21T18:01:44Z;1,49;Accelerometro_DX;2022-02-21T18:01:42.1Z;2,71;Accelerometro_SX
2022-02-21T18:01:44.4Z;1,48;Accelerometro_DX;2022-02-21T18:01:42.6Z;2,58;Accelerometro_SX
2022-02-21T18:01:50.5Z;1,48;Accelerometro_DX;2022-02-21T18:01:43Z;2,58;Accelerometro_SX
2022-02-21T18:01:53.5Z;1,48;Accelerometro_DX;2022-02-21T18:01:43.4Z;2,59;Accelerometro_SX
2022-02-21T18:01:54Z;1,48;Accelerometro_DX;2022-02-21T18:01:43.8Z;2,59;Accelerometro_SX
2022-02-21T18:01:54.4Z;1,48;Accelerometro_DX;2022-02-21T18:01:44.2Z;2,58;Accelerometro_SX
2022-02-21T18:01:54.8Z;1,47;Accelerometro_DX;2022-02-21T18:01:44.6Z;2,59;Accelerometro_SX
2022-02-21T18:01:55.2Z;1,48;Accelerometro_DX;2022-02-21T18:01:45.4Z;2,59;Accelerometro_SX
2022-02-21T18:01:55.7Z;1,47;Accelerometro_DX;2022-02-21T18:01:45.9Z;2,58;Accelerometro_SX
2022-02-21T18:01:56.1Z;1,48;Accelerometro_DX;2022-02-21T18:01:46.3Z;2,59;Accelerometro_SX
2022-02-21T18:01:56.5Z;1,47;Accelerometro_DX;2022-02-21T18:01:46.7Z;2,59;Accelerometro_SX
2022-02-21T18:01:56.9Z;1,48;Accelerometro_DX;2022-02-21T18:01:47.1Z;2,59;Accelerometro_SX
2022-02-21T18:02:00.1Z;1,48;Accelerometro_DX;2022-02-21T18:01:47.6Z;2,59;Accelerometro_SX
2022-02-21T18:02:00.5Z;1,75;Accelerometro_DX;2022-02-21T18:01:48Z;2,59;Accelerometro_SX
2022-02-21T18:02:00.9Z;1,63;Accelerometro_DX;2022-02-21T18:01:48.4Z;2,59;Accelerometro_SX
2022-02-21T18:02:01.3Z;1,56;Accelerometro_DX;2022-02-21T18:01:48.8Z;2,59;Accelerometro_SX
2022-02-21T18:02:01.7Z;1,53;Accelerometro_DX;2022-02-21T18:01:52.2Z;2,59;Accelerometro_SX
2022-02-21T18:02:06Z;1,53;Accelerometro_DX;2022-02-21T18:01:55.2Z;2,59;Accelerometro_SX
2022-02-21T18:02:06.5Z;1,52;Accelerometro_DX;2022-02-21T18:01:58.2Z;2,59;Accelerometro_SX
2022-02-21T18:02:06.9Z;1,52;Accelerometro_DX;2022-02-21T18:01:58.6Z;2,58;Accelerometro_SX
2022-02-21T18:02:07.3Z;1,52;Accelerometro_DX;2022-02-21T18:01:59.3Z;2,57;Accelerometro_SX
2022-02-21T18:02:07.7Z;1,52;Accelerometro_DX;2022-02-21T18:01:59.7Z;2,44;Accelerometro_SX
2022-02-21T18:02:08.2Z;1,52;Accelerometro_DX;2022-02-21T18:02:00.2Z;2,42;Accelerometro_SX
2022-02-21T18:02:08.6Z;1,52;Accelerometro_DX;2022-02-21T18:02:00.6Z;2,54;Accelerometro_SX
2022-02-21T18:02:10.1Z;1,52;Accelerometro_DX;2022-02-21T18:02:01Z;2,46;Accelerometro_SX
2022-02-21T18:02:10.6Z;1,52;Accelerometro_DX;2022-02-21T18:02:01.4Z;2,53;Accelerometro_SX
2022-02-21T18:02:19Z;1,52;Accelerometro_DX;2022-02-21T18:02:01.8Z;2,54;Accelerometro_SX
2022-02-21T18:02:19.2Z;2,62;Accelerometro_DX;2022-02-21T18:02:02.6Z;2,55;Accelerometro_SX
2022-02-21T18:02:19.5Z;1,52;Accelerometro_DX;2022-02-21T18:02:03Z;2,55;Accelerometro_SX
2022-02-21T18:02:19.6Z;2,22;Accelerometro_DX;2022-02-21T18:02:03.9Z;2,55;Accelerometro_SX
2022-02-21T18:02:20Z;2,49;Accelerometro_DX;2022-02-21T18:02:04.3Z;2,55;Accelerometro_SX
2022-02-21T18:02:20.5Z;2,73;Accelerometro_DX;2022-02-21T18:02:04.7Z;2,56;Accelerometro_SX
2022-02-21T18:02:21.1Z;2,51;Accelerometro_DX;2022-02-21T18:02:06.2Z;2,55;Accelerometro_SX
2022-02-21T18:02:21.5Z;1,86;Accelerometro_DX;2022-02-21T18:02:06.7Z;2,55;Accelerometro_SX
2022-02-21T18:02:22Z;4,02;Accelerometro_DX;2022-02-21T18:02:07.1Z;2,56;Accelerometro_SX
2022-02-21T18:02:22.4Z;2,14;Accelerometro_DX;2022-02-21T18:02:07.8Z;2,56;Accelerometro_SX
2022-02-21T18:02:22.9Z;4,06;Accelerometro_DX;2022-02-21T18:02:08.2Z;2,56;Accelerometro_SX
2022-02-21T18:02:23.3Z;4;Accelerometro_DX;2022-02-21T18:02:08.7Z;2,56;Accelerometro_SX
2022-02-21T18:02:23.7Z;3,6;Accelerometro_DX;2022-02-21T18:02:09.1Z;2,56;Accelerometro_SX
2022-02-21T18:02:29.1Z;3,6;Accelerometro_DX;2022-02-21T18:02:09.5Z;2,56;Accelerometro_SX
2022-02-21T18:02:29.4Z;4,37;Accelerometro_DX;2022-02-21T18:02:12.7Z;2,56;Accelerometro_SX
2022-02-21T18:02:30Z;3,42;Accelerometro_DX;2022-02-21T18:02:13.1Z;5,57;Accelerometro_SX
2022-02-21T18:02:30.4Z;2,59;Accelerometro_DX;2022-02-21T18:02:13.5Z;5,31;Accelerometro_SX
2022-02-21T18:02:30.9Z;3,85;Accelerometro_DX;2022-02-21T18:02:13.9Z;2,5;Accelerometro_SX
2022-02-21T18:02:31.8Z;3,87;Accelerometro_DX;2022-02-21T18:02:14.4Z;3,06;Accelerometro_SX
2022-02-21T18:02:33.4Z;3,35;Accelerometro_DX;2022-02-21T18:02:14.8Z;3,1;Accelerometro_SX
2022-02-21T18:02:33.8Z;2,78;Accelerometro_DX;2022-02-21T18:02:15.2Z;2,62;Accelerometro_SX
2022-02-21T18:02:37.6Z;3,63;Accelerometro_DX;2022-02-21T18:02:15.6Z;2,52;Accelerometro_SX
2022-02-21T18:02:41.1Z;1,31;Accelerometro_DX;2022-02-21T18:02:16.1Z;2,5;Accelerometro_SX
2022-02-21T18:02:41.8Z;5,17;Accelerometro_DX;2022-02-21T18:02:16.5Z;2,48;Accelerometro_SX
2022-02-21T18:02:45.1Z;0,93;Accelerometro_DX;2022-02-21T18:02:16.9Z;2,49;Accelerometro_SX
2022-02-21T18:02:45.5Z;2,56;Accelerometro_DX;2022-02-21T18:02:17.4Z;2,48;Accelerometro_SX
2022-02-21T18:02:45.9Z;2,43;Accelerometro_DX;2022-02-21T18:02:20.7Z;2,48;Accelerometro_SX
2022-02-21T18:02:46.4Z;3,47;Accelerometro_DX;2022-02-21T18:02:21.1Z;2;Accelerometro_SX
2022-02-21T18:02:46.8Z;2,59;Accelerometro_DX;2022-02-21T18:02:29.7Z;2,35;Accelerometro_SX
2022-02-21T18:02:47.2Z;3,85;Accelerometro_DX;2022-02-21T18:02:30Z;3,33;Accelerometro_SX
2022-02-21T18:02:47.7Z;5,32;Accelerometro_DX;2022-02-21T18:02:30.1Z;2,35;Accelerometro_SX
2022-02-21T18:02:48.1Z;3,38;Accelerometro_DX;2022-02-21T18:02:30.4Z;4,87;Accelerometro_SX
2022-02-21T18:02:51.1Z;5,62;Accelerometro_DX;2022-02-21T18:02:33.7Z;3,31;Accelerometro_SX
2022-02-21T18:02:52.6Z;4,28;Accelerometro_DX;2022-02-21T18:02:34.1Z;3,17;Accelerometro_SX
2022-02-21T18:02:53.1Z;2,78;Accelerometro_DX;2022-02-21T18:02:37.7Z;2,63;Accelerometro_SX
2022-02-21T18:02:53.5Z;3,95;Accelerometro_DX;2022-02-21T18:02:40.7Z;4,8;Accelerometro_SX
2022-02-21T18:02:56.9Z;3,54;Accelerometro_DX;2022-02-21T18:02:41.2Z;3,82;Accelerometro_SX
2022-02-21T18:02:57.3Z;2,91;Accelerometro_DX;2022-02-21T18:02:41.9Z;1,03;Accelerometro_SX
2022-02-21T18:02:57.8Z;2,9;Accelerometro_DX;2022-02-21T18:02:42.8Z;5,28;Accelerometro_SX
2022-02-21T18:02:58.5Z;5,04;Accelerometro_DX;2022-02-21T18:02:43.2Z;2,54;Accelerometro_SX
2022-02-21T18:02:58.9Z;3,06;Accelerometro_DX;2022-02-21T18:02:45Z;2,55;Accelerometro_SX
2022-02-21T18:02:59.3Z;3,39;Accelerometro_DX;2022-02-21T18:02:45.5Z;2,82;Accelerometro_SX
2022-02-21T18:02:59.8Z;3,12;Accelerometro_DX;2022-02-21T18:02:45.9Z;2,89;Accelerometro_SX
2022-02-21T18:03:00.6Z;3,27;Accelerometro_DX;2022-02-21T18:02:46.3Z;2,93;Accelerometro_SX
2022-02-21T18:03:01Z;3,34;Accelerometro_DX;2022-02-21T18:02:46.8Z;4,35;Accelerometro_SX
2022-02-21T18:03:04.1Z;1,74;Accelerometro_DX;2022-02-21T18:02:47.2Z;4,82;Accelerometro_SX
2022-02-21T18:03:04.5Z;2,83;Accelerometro_DX;2022-02-21T18:02:47.6Z;3,69;Accelerometro_SX
2022-02-21T18:03:08.1Z;4,37;Accelerometro_DX;2022-02-21T18:02:48.1Z;2,58;Accelerometro_SX
2022-02-21T18:03:08.5Z;2,81;Accelerometro_DX;2022-02-21T18:02:51.2Z;2,92;Accelerometro_SX
2022-02-21T18:03:09.1Z;3,23;Accelerometro_DX;2022-02-21T18:02:51.6Z;3,79;Accelerometro_SX
2022-02-21T18:03:09.6Z;2,25;Accelerometro_DX;2022-02-21T18:02:52.1Z;3,51;Accelerometro_SX
2022-02-21T18:03:10Z;2,89;Accelerometro_DX;2022-02-21T18:02:52.5Z;2,2;Accelerometro_SX
2022-02-21T18:03:10.5Z;2,84;Accelerometro_DX;2022-02-21T18:02:54Z;2,04;Accelerometro_SX
2022-02-21T18:03:10.9Z;3,98;Accelerometro_DX;2022-02-21T18:02:54.4Z;1,98;Accelerometro_SX
2022-02-21T18:03:11.3Z;2,5;Accelerometro_DX;2022-02-21T18:02:57.1Z;2,62;Accelerometro_SX
2022-02-21T18:03:11.8Z;4,27;Accelerometro_DX;2022-02-21T18:02:57.6Z;2,03;Accelerometro_SX
2022-02-21T18:03:15.1Z;4,64;Accelerometro_DX;2022-02-21T18:02:58Z;3,35;Accelerometro_SX
2022-02-21T18:03:15.8Z;5,23;Accelerometro_DX;2022-02-21T18:02:58.4Z;1,55;Accelerometro_SX
2022-02-21T18:03:19Z;2,77;Accelerometro_DX;2022-02-21T18:02:58.8Z;3,18;Accelerometro_SX
2022-02-21T18:03:19.5Z;3,68;Accelerometro_DX;2022-02-21T18:02:59.3Z;2,69;Accelerometro_SX
2022-02-21T18:03:23.1Z;3,46;Accelerometro_DX;2022-02-21T18:02:59.7Z;2,87;Accelerometro_SX
2022-02-21T18:03:23.5Z;4,94;Accelerometro_DX;2022-02-21T18:03:00.1Z;2,92;Accelerometro_SX
2022-02-21T18:03:24.1Z;3,91;Accelerometro_DX;2022-02-21T18:03:00.6Z;3,55;Accelerometro_SX
2022-02-21T18:03:24.6Z;2,78;Accelerometro_DX;2022-02-21T18:03:01Z;3,08;Accelerometro_SX
2022-02-21T18:03:25Z;2,82;Accelerometro_DX;2022-02-21T18:03:01.4Z;3,8;Accelerometro_SX
2022-02-21T18:03:25.4Z;3,2;Accelerometro_DX;2022-02-21T18:03:01.8Z;3,03;Accelerometro_SX
2022-02-21T18:03:25.8Z;3,71;Accelerometro_DX;2022-02-21T18:03:02.3Z;2,84;Accelerometro_SX
2022-02-21T18:03:26.3Z;2,69;Accelerometro_DX;2022-02-21T18:03:02.7Z;1,88;Accelerometro_SX
2022-02-21T18:03:26.7Z;1,88;Accelerometro_DX;2022-02-21T18:03:05.9Z;2;Accelerometro_SX
2022-02-21T18:03:27.1Z;2,03;Accelerometro_DX;2022-02-21T18:03:06.3Z;2,76;Accelerometro_SX
2022-02-21T18:03:27.5Z;2,11;Accelerometro_DX;2022-02-21T18:03:06.7Z;3,65;Accelerometro_SX
2022-02-21T18:03:28Z;2,06;Accelerometro_DX;2022-02-21T18:03:07.2Z;3,25;Accelerometro_SX
2022-02-21T18:03:28.4Z;2,04;Accelerometro_DX;2022-02-21T18:03:07.6Z;2,45;Accelerometro_SX
2022-02-21T18:03:28.8Z;2,03;Accelerometro_DX;2022-02-21T18:03:08Z;0,75;Accelerometro_SX
2022-02-21T18:03:32.1Z;2,03;Accelerometro_DX;2022-02-21T18:03:08.6Z;1,43;Accelerometro_SX
2022-02-21T18:03:32.7Z;1,99;Accelerometro_DX;2022-02-21T18:03:09Z;1,5;Accelerometro_SX
2022-02-21T18:03:36.1Z;2;Accelerometro_DX;2022-02-21T18:03:09.4Z;2,29;Accelerometro_SX
2022-02-21T18:03:36.5Z;1,98;Accelerometro_DX;2022-02-21T18:03:09.8Z;4,16;Accelerometro_SX
2022-02-21T18:03:36.9Z;1,97;Accelerometro_DX;2022-02-21T18:03:10.3Z;5,37;Accelerometro_SX
2022-02-21T18:03:37.3Z;1,98;Accelerometro_DX;2022-02-21T18:03:10.7Z;3,43;Accelerometro_SX
2022-02-21T18:03:37.8Z;1,97;Accelerometro_DX;2022-02-21T18:03:11.1Z;3,02;Accelerometro_SX
2022-02-21T18:03:38.2Z;1,97;Accelerometro_DX;2022-02-21T18:03:11.5Z;2,6;Accelerometro_SX
2022-02-21T18:03:38.6Z;1,96;Accelerometro_DX;2022-02-21T18:03:11.9Z;3,36;Accelerometro_SX
2022-02-21T18:03:42.1Z;1,96;Accelerometro_DX;2022-02-21T18:03:12.4Z;3,52;Accelerometro_SX
2022-02-21T18:03:42.5Z;1,95;Accelerometro_DX;2022-02-21T18:03:12.8Z;3,31;Accelerometro_SX
2022-02-21T18:03:44Z;1,95;Accelerometro_DX;2022-02-21T18:03:13.2Z;2,12;Accelerometro_SX
2022-02-21T18:03:44.5Z;1,94;Accelerometro_DX;2022-02-21T18:03:13.6Z;4,27;Accelerometro_SX
2022-02-21T18:03:44.9Z;1,94;Accelerometro_DX;2022-02-21T18:03:14.1Z;3,36;Accelerometro_SX
2022-02-21T18:03:45.3Z;1,95;Accelerometro_DX;2022-02-21T18:03:14.5Z;2,74;Accelerometro_SX
2022-02-21T18:03:45.8Z;1,94;Accelerometro_DX;2022-02-21T18:03:14.9Z;3,96;Accelerometro_SX
2022-02-21T18:03:46.2Z;1,94;Accelerometro_DX;2022-02-21T18:03:15.4Z;2,93;Accelerometro_SX
2022-02-21T18:03:49.6Z;1,94;Accelerometro_DX;2022-02-21T18:03:15.8Z;0,69;Accelerometro_SX
2022-02-21T18:03:50Z;1,93;Accelerometro_DX;2022-02-21T18:03:16.2Z;2,33;Accelerometro_SX
2022-02-21T18:03:50.4Z;1,93;Accelerometro_DX;2022-02-21T18:03:17Z;2,39;Accelerometro_SX
2022-02-21T18:03:53.6Z;1,92;Accelerometro_DX;2022-02-21T18:03:17.4Z;2,74;Accelerometro_SX
2022-02-21T18:03:54Z;1,92;Accelerometro_DX;2022-02-21T18:03:20.8Z;4,72;Accelerometro_SX
2022-02-21T18:03:54.4Z;1,92;Accelerometro_DX;2022-02-21T18:03:21.3Z;1,43;Accelerometro_SX
2022-02-21T18:03:54.8Z;1,92;Accelerometro_DX;2022-02-21T18:03:22.8Z;2,67;Accelerometro_SX
2022-02-21T18:03:55.2Z;1,92;Accelerometro_DX;2022-02-21T18:03:23.3Z;4,13;Accelerometro_SX
2022-02-21T18:03:55.7Z;1,92;Accelerometro_DX;2022-02-21T18:03:23.7Z;4,65;Accelerometro_SX
2022-02-21T18:03:56.1Z;1,91;Accelerometro_DX;2022-02-21T18:03:24.4Z;2,46;Accelerometro_SX
2022-02-21T18:03:56.5Z;1,92;Accelerometro_DX;2022-02-21T18:03:24.8Z;2,97;Accelerometro_SX
2022-02-21T18:03:59.6Z;1,92;Accelerometro_DX;2022-02-21T18:03:25.2Z;2,55;Accelerometro_SX
2022-02-21T18:04:00.3Z;1,98;Accelerometro_DX;2022-02-21T18:03:25.7Z;2,22;Accelerometro_SX
2022-02-21T18:04:03.6Z;1,99;Accelerometro_DX;2022-02-21T18:03:26.1Z;2,13;Accelerometro_SX
2022-02-21T18:04:05.3Z;2,02;Accelerometro_DX;2022-02-21T18:03:26.5Z;2,92;Accelerometro_SX
2022-02-21T18:04:05.7Z;2,02;Accelerometro_DX;2022-02-21T18:03:27Z;2,91;Accelerometro_SX
2022-02-21T18:04:06.4Z;2,03;Accelerometro_DX;2022-02-21T18:03:27.4Z;3,02;Accelerometro_SX
